Price,Close,High,Low,Open,Volume,Volatility,System_Load,Failure
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-01-03,123.33065032958984,129.07956676089162,122.44316513126005,128.4681939201586,112117500,0.051657935144289645,0.8007247782965542,1
2023-01-04,124.60269927978516,126.87071595607891,123.34050157319417,125.12532731236189,89113600,0.02821342775848999,0.4373227583294144,0
2023-01-05,123.28132629394531,125.9930816643783,123.02494756660151,125.3619828345772,80962700,0.023676508863882742,0.3669981631653467,0
2023-01-06,127.8173828125,128.47806338393755,123.15316666234692,124.25759364277924,87754700,0.042853692603277524,0.664254454095059,1
2023-01-09,128.3400115966797,131.55468474878427,128.08363280615177,128.65556861264022,70790800,0.026979414727731212,0.4181949165426796,1
2023-01-10,128.9119110107422,129.43453900512318,126.33820813140562,128.44844617850507,63896200,0.024105631214990215,0.37364978209848576,1
2023-01-11,131.63357543945312,131.65328646822576,128.64571450243,129.4247214433815,69458900,0.023238002232142823,0.3602010830168513,1
2023-01-12,131.5546875,132.39285762882386,129.6120828388038,132.01815247276784,71379600,0.021063579045265627,0.32649639622726334,0
2023-01-13,132.88587951660156,133.04365799858422,129.82900042275443,130.19384999657817,57809700,0.024691316647555007,0.3827282099688999,0
2023-01-17,134.0494842529297,135.38070076927318,132.26465833803292,132.95492042575748,63646600,0.023436834238716793,0.36328308220898897,0
2023-01-18,133.3296356201172,136.68234566241608,133.15213106325567,134.91724588612811,69672800,0.026165777221245405,0.4055831133381021,1
2023-01-19,133.38877868652344,134.35514542774973,131.9096394708051,132.2153258346004,58280400,0.018496387930124866,0.2867036029076256,0
2023-01-20,135.95262145996094,136.1005444209002,132.35338844252215,133.3986444948596,80223600,0.02808991045274417,0.4354081760492119,0
2023-01-23,139.1475830078125,141.32685514540398,135.9822178760608,136.19915953850284,81760300,0.03924133810702622,0.6082610864728317,1
2023-01-24,140.54782104492188,141.16906439218428,138.34883807200805,138.35869358432294,66435100,0.02038344138062738,0.31595390978820176,1
2023-01-25,139.8871612548828,140.44922647148869,136.87957443059517,138.93064978868992,65799300,0.025693769131022334,0.39826674321331157,1
2023-01-26,141.95794677734375,142.24390711048304,139.9265826744515,141.17892492583348,54105100,0.016414096064613772,0.25442699936737745,0
2023-01-27,143.90054321289062,145.18246711281154,141.09018721144076,141.16907645645273,70555800,0.02898850091034734,0.4493367940424387,0
2023-01-30,141.0112762451172,143.52581599866483,140.86336833761902,142.94402483372846,64015300,0.018625805899496285,0.2887096485333957,0
2023-01-31,142.28335571289062,142.3326633733732,140.30131415280843,140.71547141700836,65874500,0.014435862667473872,0.2237633560390245,0
2023-02-01,143.407470703125,144.57106804774983,139.35464368271474,141.96778362091698,77663600,0.03674371911703585,0.5695466971647182,0
2023-02-02,148.72256469726562,149.07754375931228,146.10940902226113,146.82925275349945,118339000,0.02021487327211371,0.3133410167071976,1
2023-02-03,152.3513641357422,155.19131670929613,145.774125819744,145.97134140477755,154357300,0.06451397102283471,1.0,1
2023-02-06,149.61990356445312,150.97086135861267,148.6831181180358,150.4482332133508,69858300,0.015206182164549728,0.23570370763826493,0
2023-02-07,152.49928283691406,153.07121860652774,148.54505515759215,148.54505515759215,83322600,0.030469970502442933,0.47230034083095107,1
2023-02-08,149.8072509765625,152.4302620416696,149.06768120571854,151.73999993153234,64120100,0.022160147867855,0.34349378152542215,0
2023-02-09,148.7718505859375,152.1837390894266,148.32811173185976,151.64138491373802,56007100,0.025425957167036814,0.39411551891662816,1
2023-02-10,149.1372528076172,149.46316214008027,147.3694580195322,147.60648709847575,57450700,0.014184363856252824,0.21986499406821927,0
2023-02-13,151.94204711914062,152.3469510828992,149.0483754519819,149.07800220373113,62199000,0.022126508151145197,0.3429723484749299,0
2023-02-14,151.30007934570312,151.86301769491905,148.9891025921519,150.233471212628,61707600,0.01912965918693073,0.296519635726032,1
2023-02-15,153.40365600585938,153.57154591974012,150.98404302296422,151.21118642767874,65573800,0.01711184838836942,0.2652425221555914,0
2023-02-16,151.80377197265625,154.39127521881363,151.44823591009165,151.60624021713144,68167900,0.019412388992081978,0.3009020942953731,1
2023-02-17,150.6581573486328,151.10257366904202,148.97924287733272,150.46064065840176,59144100,0.014112200921236245,0.21874643116048822,1
2023-02-21,146.63861083984375,149.42364564911486,146.5694867858314,148.33728134701136,58867200,0.019241008311367193,0.2982456048869917,0
2023-02-22,147.0633087158203,148.0904046122651,145.3350111943411,147.02379633351947,51011300,0.018741139098826402,0.2904973729208667,0
2023-02-23,147.54722595214844,148.47557105445037,145.41402441253163,148.22867140254277,48394200,0.02065421360759913,0.3201510196960062,0
2023-02-24,144.89060974121094,145.3646528906462,143.91288161778817,145.28564318748033,55469600,0.009992530858569569,0.15488940922630098,0
2023-02-27,146.08558654785156,147.32008482695682,145.62141398934327,145.87819927591497,44998500,0.011644446161558871,0.1804949529062057,1
2023-02-28,145.58189392089844,147.23118155565606,145.00908500057525,145.22635786930326,50547000,0.015300917737540387,0.2371721581380354,0
2023-03-01,143.5079345703125,145.40412186804485,143.2116520085762,145.00908849876785,55479000,0.015119534107596809,0.23436061783028753,0
2023-03-02,144.1005096435547,144.8905915062189,142.11542689154663,142.58948505088003,52238100,0.01946261755333505,0.30168066303725527,1
2023-03-03,149.15701293945312,149.236022634522,145.50290119247913,146.20408774818284,70732300,0.025533632469104863,0.39578454192607737,0
2023-03-06,151.92230224609375,154.3616721188966,151.55689556759242,151.8827898611123,87558000,0.0184667173540134,0.28624369359432406,1
2023-03-07,149.71994018554688,152.11979733212814,149.25576768015293,151.79388801539042,56182000,0.01886788519235261,0.2924620030857243,0
2023-03-08,150.97418212890625,151.56674727343432,149.9470862905562,150.91492862836495,47204800,0.010732278096003392,0.16635587495001206,0
2023-03-09,148.72247314453125,152.62348469471294,148.36693703717327,151.65564226284476,53833600,0.02806718954882243,0.435055990258111,0
2023-03-10,146.6583709716797,149.0681136196498,145.7794089470896,148.34717096498875,68572400,0.022168974650257255,0.34363060122915934,1
2023-03-13,148.60398864746094,151.24087556424058,145.86833582551114,145.97697229337373,84457100,0.03680402226682788,0.5704814272524179,1
2023-03-14,150.6976776123047,151.49763012479718,148.2385665656885,149.40392576424304,73695900,0.02181377458749934,0.3381248160926004,0
2023-03-15,151.09268188476562,151.34945203904152,148.06074761868828,149.31500178328344,77167900,0.02202527797659932,0.34140322828373837,1
2023-03-16,153.91722106933594,154.5196567133458,149.75942505583248,150.27298045799404,76161100,0.03167722928636495,0.49101347792019806,0
2023-03-17,153.07778930664062,154.79621636647911,152.36671707978053,154.1443976469308,98944600,0.015761190959812744,0.24430663172530603,0
2023-03-20,155.44801330566406,155.86281797805782,152.23831786199295,153.14692183341302,73641400,0.023666816627287156,0.36684792847289294,0
2023-03-21,157.30471801757812,157.42322503802845,154.59869218400178,155.36903302560913,73938300,0.018179509771172418,0.28179182714915785,0
2023-03-22,155.8726806640625,160.12922799549253,155.85292447362312,157.32445173541882,75701800,0.0271814296804994,0.42132625305111876,0
2023-03-23,156.9590606689453,159.54657961758764,155.72456224273301,156.86030983658483,67622100,0.024365739037723155,0.3776815882113179,0
2023-03-24,158.2626953125,158.35157558084836,155.89246440584685,156.88993369073094,59196500,0.01567411698859552,0.24295694002540424,1
2023-03-27,156.31707763671875,158.7762031421057,155.91215866543004,157.95649464031004,52390300,0.018131856389935034,0.2810531750326959,1
2023-03-28,155.6949005126953,156.52449472162644,154.04561279409856,156.01093927220384,45992200,0.015889154562442515,0.24629013391252186,1
2023-03-29,158.77622985839844,159.05275625859912,157.37384166607825,157.39358278783644,51305700,0.010666982495620635,0.16534375928967476,0
2023-03-30,160.3465118408203,160.45514829132492,159.27003296644855,159.5268031814781,49501700,0.007428941727918747,0.11515244853381097,0
2023-03-31,162.85499572753906,162.95376161088404,159.90208569195596,160.42551172065657,68749800,0.0190223854435438,0.29485683708433996,1
2023-04-03,164.10926818847656,164.22777520589742,162.18345380758916,162.23283675470108,56976200,0.012601156702938664,0.19532446233201933,0
2023-04-04,163.57594299316406,164.7709287291007,163.0623875580335,164.53391473562277,46278300,0.010384127636010626,0.1609593623113847,0
2023-04-05,161.72914123535156,163.00315186770885,159.79345641920935,162.69699871298138,51511700,0.019728055673367533,0.3057950915218781,1
2023-04-06,162.6179962158203,162.91427882271006,159.99098020805553,160.41564039126865,45390100,0.01822327677977241,0.2824702384747373,0
2023-04-10,160.0205841064453,160.0205841064453,158.09477004106023,159.41814841731897,47716900,0.012080268680224273,0.18725042791038957,1
2023-04-11,158.8058624267578,160.34651387560373,158.5194503856298,160.33664331436313,47644200,0.011395171136218164,0.1766310607695323,0
2023-04-12,158.11456298828125,160.0502480636464,157.79852416071756,159.22066874563276,50133100,0.014142158305628852,0.21921078615085154,1
2023-04-13,163.5068359375,163.74386504702863,159.4181779828813,159.62558033741385,68445600,0.02709895904530945,0.42004791544637327,0
2023-04-14,163.1611785888672,164.2574136863755,161.7884170766324,162.5488571823505,49386500,0.015189258494590975,0.23544138197933498,0
2023-04-17,163.18089294433594,163.33891231813308,161.99577777997115,163.04262975965267,41516200,0.008237934705431943,0.12769225913122179,0
2023-04-18,164.405517578125,165.33386254581205,163.59567960391064,164.0401109685465,49923000,0.010596084894350613,0.16424480971106445,1
2023-04-19,165.5511474609375,166.0745734796078,163.4870550672227,163.74384033117565,47720200,0.015802233581133675,0.2449428136355221,0
2023-04-20,164.5832977294922,165.78816920558748,163.50681889136789,164.03024493447634,52456400,0.013908107709836708,0.2155828805657295,0
2023-04-21,162.97349548339844,164.38575399057277,162.4500695263773,163.00312223043315,58337300,0.011875137345277656,0.18407078586240574,0
2023-04-24,163.27967834472656,163.54633418620037,161.85753394961128,162.95376899838274,41949600,0.010363677053740618,0.16064236768299994,0
2023-04-25,161.73904418945312,164.24753827035505,161.69953180228663,163.14143254265787,48714100,0.015618389690198258,0.2420931380068068,1
2023-04-26,161.72914123535156,163.23029532612622,160.78105501874768,161.0378252295865,45498800,0.015209099501230481,0.23574892786939472,0
2023-04-27,166.32147216796875,166.4696059197472,163.14140369362494,163.14140369362494,64902300,0.020400720790490098,0.31622174960008687,1
2023-04-28,167.57571411132812,167.74361912541863,165.79804878354395,166.40048449959994,55275900,0.011692095415018835,0.18123354103997752,0
2023-05-01,167.48683166503906,168.33616700655767,166.548616072207,167.18067853080987,52472900,0.010692329700176643,0.16573665410228886,0
2023-05-02,166.44985961914062,168.2374257243008,165.46226102978648,167.98064044655123,48425700,0.016520741242187036,0.2560800549130594,0
2023-05-03,165.37339782714844,168.80036649116937,165.08700083730753,167.3979781580158,65136000,0.022182858447409682,0.3438458072834807,1
2023-05-04,163.7339630126953,164.96846124572582,162.27232132426357,162.84513031273676,81235400,0.016556466357234213,0.2566338127190164,0
2023-05-05,171.41748046875,172.13842316096267,168.64231599957478,168.85958887715515,113453200,0.020704226420516187,0.32092624422681915,0
2023-05-08,171.3483428955078,171.6940084046762,169.97558155808977,170.34098818753938,55962800,0.010088158257568038,0.15637168349158567,0
2023-05-09,169.6398162841797,171.38785496168964,169.47192632998963,170.9039412906591,45326900,0.011210558499885977,0.17376946918858865,0
2023-05-10,171.4075927734375,171.87176527271458,169.76817565129102,170.87429621552187,53724500,0.01231074344130923,0.19082290620355463,0
2023-05-11,171.5952606201172,172.4248398461332,170.0348529885771,171.69402651016821,49514700,0.013920034995594808,0.2157677596790285,0
2023-05-12,170.66563415527344,172.13918180226995,169.11295243629542,171.70403494878815,45533100,0.017624684049370898,0.2731917407956897,1
2023-05-15,170.17112731933594,171.29854623618587,169.57774258819362,171.2490949935239,37266700,0.010048541559050755,0.1557576041241373,0
2023-05-16,170.17112731933594,171.229311478379,169.90410268128184,170.0920083491569,42110300,0.007791129106882171,0.12076654069433274,0
2023-05-17,170.7843017578125,171.02164360752573,168.53934785672587,169.81512066054435,57951600,0.01461763676370082,0.2265809487766132,0
2023-05-18,173.11827087402344,173.30617657836305,170.6755268984154,171.0908902546592,65496700,0.015375743711614787,0.2383319995318928,0
2023-05-19,173.22705078125,174.44347306887536,173.00947735219142,174.44347306887536,55809500,0.008220403386016942,0.12742051459066644,0
2023-05-22,172.27761840820312,172.781999977239,171.5358950094103,172.0600450039918,43570900,0.007242268057059906,0.11225890984910085,0
2023-05-23,169.66677856445312,171.46670153051892,169.38986966050507,171.2194603598222,50747300,0.01212964849701857,0.18801584067310448,0
2023-05-24,169.9436492919922,170.51725049000234,168.6382240509761,169.20192594652394,45143500,0.011105230797550719,0.17213683519217912,1
2023-05-25,171.08099365234375,171.98093998050487,169.79533663873903,170.50739236656926,56058300,0.012818232168298433,0.1986892445941891,1
2023-05-26,173.49404907226562,173.83030849826073,171.19965909306288,171.40734829469508,54835000,0.015347354890964579,0.2378919580928042,1
2023-05-30,175.34341430664062,177.01476677794446,174.6214744245607,175.00716998790764,55964400,0.013675396005484453,0.21197572849211294,0
2023-05-31,175.2939910888672,177.37082297149757,174.80939295881248,175.3731100748192,99625300,0.014605602943303644,0.22639441832117252,0
2023-06-01,178.10264587402344,178.1323136072369,174.97751385870967,175.73902088879638,68901800,0.017951617873889967,0.27825938458409255,0
2023-06-02,178.95315551757812,179.77399801140302,177.28180279681203,179.03227450268932,61996900,0.01392036838896082,0.21577292744905918,0
2023-06-05,177.59823608398438,182.90897030198119,176.07522239457762,180.61458064640706,121946500,0.03783608102372495,0.5864788730852248,1
2023-06-06,177.2323760986328,178.1323225352186,175.47200499411858,177.9839838617166,64848400,0.014946949064624505,0.2316854601824779,0
2023-06-07,175.85769653320312,179.21028600208987,175.36321422162453,176.47084977063176,61944600,0.02180004111424396,0.3379119401366231,0
2023-06-08,178.57736206054688,178.8443716628685,175.50168125821915,175.93681304769265,50214900,0.018999380213527088,0.2945002440913498,1
2023-06-09,178.96304321289062,180.21901740774703,178.63668307937917,179.4970774647442,48900000,0.008815376554967348,0.13664290719055486,1
2023-06-12,181.76181030273438,181.86071280602803,178.97293777661235,179.26963019609002,54274900,0.01610855684957319,0.24969098311854912,0
2023-06-13,181.28709411621094,182.11782073883157,180.4266997635254,180.78272761470595,54929100,0.009354438875988124,0.1449986526589275,0
2023-06-14,181.9200439453125,182.35519080481038,180.0113494184458,181.3464426387383,57462900,0.012924661505678161,0.20033895450496264,0
2023-06-15,183.95730590820312,184.46168752877136,181.75191900244837,181.9299404833556,65433200,0.014894571608849069,0.23087358246134218,0
2023-06-16,182.8793182373047,184.9264820484004,182.2364973319158,184.669341613924,101256200,0.014566493241246084,0.22578819766171696,0
2023-06-20,182.96832275390625,184.0463055632048,182.37495308855412,182.37495308855412,49799100,0.009164375076434679,0.1420525652217401,0
2023-06-21,181.92991638183594,183.36391189129432,180.575024752965,182.85953033754498,49515700,0.015251527405660797,0.23640658238604662,0
2023-06-22,184.93638610839844,184.98583735805877,181.6431320743364,181.7123668419414,51245300,0.018395584966597028,0.2851411047087136,1
2023-06-23,184.6199188232422,185.49021256870566,182.968349622031,183.50239899871212,53117000,0.013742942655983173,0.21302273659637014,0
2023-06-26,183.22547912597656,185.97479955864205,183.18591209060443,184.76826151663462,48088700,0.01509397471809049,0.23396443404093015,0
2023-06-27,185.98464965820312,186.3110097333496,183.621025256748,183.838598640179,50730800,0.014632316045155585,0.2268084852500628,0
2023-06-28,187.16152954101562,187.80435042269775,185.5297441703453,185.85608917215896,51216800,0.012238535000300518,0.18970363792935163,0
2023-06-29,187.49777221679688,187.97248603247579,186.8549513406989,186.9934057643385,46347300,0.00597633209154591,0.09263624602228543,0
2023-06-30,191.82945251464844,192.33381899614628,189.1493519786864,189.51527911897426,85213200,0.016803220469948046,0.26045862940293274,1
